"","Time","Name","Instructor","Location"
"Saturday, 15 February 2025","09:30 - 10:30","BODYCOMBAT","LIKHASINH","CISAC LADIES ONLY"
"Saturday, 15 February 2025","09:30 - 10:25","BODYPUMP","KAITLYN","TUGGERANONG"
"Saturday, 15 February 2025","09:30 - 10:25","BODYBALANCE","TRUDI","GOULBURN - LANSDOWNE STREET"
"Saturday, 15 February 2025","09:30 - 10:30","HOT YOGA","STEPH","TUGGERANONG"
"Saturday, 15 February 2025","09:30 - 10:30","PILATES","DAHLAS","NORMAN PARK (ACTIVE LIFE)"
"Saturday, 15 February 2025","09:30 - 10:20","REFORMER PILATES","DEE","FIVE DOCK"
"Saturday, 15 February 2025","09:30 - 10:15","LIME LIFT","JESS/DANI","SCORESBY"
"Saturday, 15 February 2025","09:30 - 10:15","LIME STRETCH","S.T","CARIBBEAN PARK"
"Saturday, 15 February 2025","09:30 - 10:15","HOT YOGA","KEANA","MULGRAVE"
"Saturday, 15 February 2025","09:30 - 10:15","REFORMER - INTERMEDIATE","SARAH","MULGRAVE"
"Saturday, 15 February 2025","09:30 - 10:30","BODYPUMP","LACHLAN","WOLLONGONG"
"Saturday, 15 February 2025","09:30 - 10:20","REFORMER BEGINNER","CLARE","PYRMONT"
"Saturday, 15 February 2025","09:30 - 10:30","BODYBALANCE","KIM","TOORMINA"
